"zone_id","zone_vmt_per_capita","COUNTY","zone_pop","zone_vmt","jur_total_pop","jur_total_vmt","jur_total_vmt_capita","threshold_15_below","percent_threshold","cat","cat1"
"Zone 58",24.6467724867725,"PLACER",756,18632.96,8829,226852.52,25.6940219730434,21.84,1.12851522375332,"100-125% of threshold","100-125% of threshold"
"Zone 59",38.97,"PLACER",19,740.43,8829,226852.52,25.6940219730434,21.84,1.78434065934066,"Over 150% of threshold","Over 150% of threshold"
"Zone 6",13.5203256445047,"CSLT",737,9964.48,23558,361984.22,15.3656600730113,13.06,1.03524698656239,"100-125% of threshold","100-125% of threshold"
"Zone 60",30.0971794871795,"PLACER",156,4695.16,8829,226852.52,25.6940219730434,21.84,1.37807598384521,"125-150% of threshold","125-150% of threshold"
"Zone 61",30.8350847457627,"PLACER",118,3638.54,8829,226852.52,25.6940219730434,21.84,1.41186285465946,"125-150% of threshold","125-150% of threshold"
"Zone 62",26.3430102622577,"WASHOE",1754,46205.64,9247,224704.15,24.3002216935222,20.66,1.27507310078692,"125-150% of threshold","125-150% of threshold"
"Zone 63",26.4720404040404,"WASHOE",990,26207.32,9247,224704.15,24.3002216935222,20.66,1.28131850939208,"125-150% of threshold","125-150% of threshold"
"Zone 64",28.9554143646409,"WASHOE",724,20963.72,9247,224704.15,24.3002216935222,20.66,1.40152054039888,"125-150% of threshold","125-150% of threshold"
"Zone 65",26.8670041322314,"WASHOE",484,13003.63,9247,224704.15,24.3002216935222,20.66,1.30043582440617,"125-150% of threshold","125-150% of threshold"
"Zone 66",27.8338043478261,"WASHOE",184,5121.42,9247,224704.15,24.3002216935222,20.66,1.34723157540301,"125-150% of threshold","125-150% of threshold"
"Zone 67",23.871589023612,"WASHOE",1567,37406.78,9247,224704.15,24.3002216935222,20.66,1.1554496139212,"100-125% of threshold","100-125% of threshold"
"Zone 68",25.2527972027972,"WASHOE",143,3611.15,9247,224704.15,24.3002216935222,20.66,1.22230383363007,"100-125% of threshold","100-125% of threshold"
"Zone 69",18.1818938835667,"WASHOE",1357,24672.83,9247,224704.15,24.3002216935222,20.66,0.880052946929656,"75-100% of threshold","75-100% of threshold"
"Zone 7",16.4791666666667,"EL DORADO",24,395.5,9968,229275.39,23.0011426565008,19.55,0.842924126172208,"75-100% of threshold","75-100% of threshold"
"Zone 70",23.1783827893175,"WASHOE",1348,31244.46,9247,224704.15,24.3002216935222,20.66,1.12189655320995,"100-125% of threshold","100-125% of threshold"
"Zone 71",24.7292462311558,"WASHOE",597,14763.36,9247,224704.15,24.3002216935222,20.66,1.1969625474906,"100-125% of threshold","100-125% of threshold"
"Zone 72",15.190303030303,"WASHOE",99,1503.84,9247,224704.15,24.3002216935222,20.66,0.73525184076975,"50-75% of threshold","50-75% of threshold"
"Zone 73",20.755,"EL DORADO",6,124.53,9968,229275.39,23.0011426565008,19.55,1.0616368286445,"100-125% of threshold","100-125% of threshold"
"Zone 74",27.9027272727273,"EL DORADO",22,613.86,9968,229275.39,23.0011426565008,19.55,1.42724947686585,"125-150% of threshold","125-150% of threshold"
"Zone 75",31.6307076350093,"DOUGLAS",537,16985.69,5495,133428.61,24.281821656051,20.64,1.532495524952,"Over 150% of threshold","Over 150% of threshold"
"Zone 77",28.9775438596491,"DOUGLAS",57,1651.72,5495,133428.61,24.281821656051,20.64,1.40395076839385,"125-150% of threshold","125-150% of threshold"
"Zone 78",17.025,"EL DORADO",2,34.05,9968,229275.39,23.0011426565008,19.55,0.870843989769821,"75-100% of threshold","75-100% of threshold"
"Zone 79",NA,"EL DORADO",0,0,9968,229275.39,23.0011426565008,19.55,NA,NA,NA
"Zone 8",14.7357921491104,"CSLT",3541,52179.44,23558,361984.22,15.3656600730113,13.06,1.12831486593495,"100-125% of threshold","100-125% of threshold"
"Zone 9",15.8014736842105,"CSLT",760,12009.12,23558,361984.22,15.3656600730113,13.06,1.20991375836222,"100-125% of threshold","100-125% of threshold"
